pm4cnc,pm4cnt,dt_time,pm25raw,pm2.5cnc,temp,rh,o3op1,o3op2,no2op1,no2op2,pm10cnc,PM10,pres,altd,pm1cnc,pm0.3cnt,pm0.5cnt,pm1cnt,pm2.5cnt,pm5cnt,pm10cnt,lat,lon,no,nox,nh3,co,co2,benzene,deviceid,aqi
0,0,23-09-21 12:00,14.83333333,14.83333333,33,39.15,0,0,0,0,16.83333333,0,979,935.6666667,13,2311.833333,668,89.16666667,2.5,2.5,0.5,0,0,0,0,0,0,0,0,E098060E6B54,24.72222222
0,0,23-09-21 12:00,15,15,32.98,39.36,0,0,0,0,15.2,0,979,935.2,13.2,2261,679.2,68.2,0.2,0.2,0,0,0,0,0,0,0,0,0,E098060E6B54,25
0,0,23-09-21 12:01,15,15,32.95,39.61666667,0,0,0,0,15.5,0,979,935.5,12.66666667,2218.5,657.3333333,99.5,0.5,0,0,0,0,0,0,0,0,0,0,E098060E6B54,25
0,0,23-09-21 12:01,18.4,18.4,32.8,39.02,0,0,0,0,20.6,0,979,936,13.4,2426.4,713,113,8.8,3,0,0,0,0,0,0,0,0,0,E098060E6B54,30.66666667
0,0,23-09-21 12:02,17.33333333,17.33333333,32.8,39.26666667,0,0,0,0,19.33333333,0,979,937.5,13.66666667,2396.333333,717.5,105.6666667,5,3.333333333,0.5,0,0,0,0,0,0,0,0,E098060E6B54,28.88888889
0,0,23-09-21 12:02,16,16,32.8,39.5,0,0,0,0,17.66666667,0,979,936.1666667,13.5,2375.333333,702,92.16666667,2.5,2.5,0,0,0,0,0,0,0,0,0,E098060E6B54,26.66666667
0,0,23-09-21 12:03,16.6,16.6,32.8,39.58,0,0,0,0,18.4,0,979,937.2,13.4,2473.6,706.8,113.4,4.2,2.2,0,0,0,0,0,0,0,0,0,E098060E6B54,27.66666667
0,0,23-09-21 12:03,15,15,32.86666667,39.66666667,0,0,0,0,15,0,979,937,13,2313.166667,668.5,84.33333333,0.5,0,0,0,0,0,0,0,0,0,0,E098060E6B54,25
0,0,23-09-21 12:04,15.33333333,15.33333333,32.88333333,39.75,0,0,0,0,17.83333333,0,979,937.1666667,13.16666667,2322.833333,700,82.5,3.333333333,3.333333333,0.5,0,0,0,0,0,0,0,0,E098060E6B54,25.55555556
0,0,23-09-21 12:04,16.6,16.6,32.9,39.58,0,0,0,0,17.4,0,979,937.8,13.6,2409.8,707,92.6,0.8,0.8,0.6,0,0,0,0,0,0,0,0,E098060E6B54,27.66666667
0,0,23-09-21 12:05,14.8,14.8,32.88,39.38,0,0,0,0,15.4,0,979,936.6,12,2226.6,648.8,82.2,1.6,0.6,0.6,0,0,0,0,0,0,0,0,E098060E6B54,24.66666667
0,0,23-09-21 12:05,15.16666667,15.16666667,32.85,39.4,0,0,0,0,16.33333333,0,979,938.1666667,11.5,2186.5,637.3333333,95.33333333,2.5,1.5,1.5,0,0,0,0,0,0,0,0,E098060E6B54,25.27777778
0,0,23-09-21 12:06,15,15,32.78,39.36,0,0,0,0,15,0,979,939,12,2266,665.2,85.6,0.6,0,0,0,0,0,0,0,0,0,0,E098060E6B54,25
0,0,23-09-21 12:06,16.8,16.8,32.8,39.54,0,0,0,0,17.2,0,979,939.2,12.8,2416.6,705.2,104.6,0.8,0.4,0.4,0,0,0,0,0,0,0,0,E098060E6B54,28
0,0,23-09-21 12:07,16,16,32.8,39.22,0,0,0,0,17,0,979,939,12.4,2288.6,664,104.4,2.4,0.4,0.4,0,0,0,0,0,0,0,0,E098060E6B54,26.66666667
0,0,23-09-21 12:07,17,17,32.71666667,39.23333333,0,0,0,0,18,0,979,940,12.66666667,2296,690.3333333,113,3.333333333,0.833333333,0.166666667,0,0,0,0,0,0,0,0,E098060E6B54,28.33333333
0,0,23-09-21 12:08,14.8,14.8,32.7,39.36,0,0,0,0,16.2,0,979,939.6,12.4,2183.8,654.8,99,1.6,1.6,0.4,0,0,0,0,0,0,0,0,E098060E6B54,24.66666667
0,0,23-09-21 12:08,15.5,15.5,32.7,39.5,0,0,0,0,16.5,0,979,939.8333333,12.33333333,2239.166667,658.3333333,99.33333333,2.833333333,0.833333333,0,0,0,0,0,0,0,0,0,E098060E6B54,25.83333333
0,0,23-09-21 12:09,16.6,16.6,32.72,39.48,0,0,0,0,18,0,979,939.4,13.4,2457.8,714.8,110.2,2.2,1.8,0,0,0,0,0,0,0,0,0,E098060E6B54,27.66666667
0,0,23-09-21 12:09,16.83333333,16.83333333,32.73333333,39.41666667,0,0,0,0,18,0,979,939.6666667,12.66666667,2440,704.3333333,100.1666667,1.666666667,1.333333333,0,0,0,0,0,0,0,0,0,E098060E6B54,28.05555556
0,0,23-09-21 12:10,19.5,19.5,32.71666667,39.55,0,0,0,0,20.66666667,0,979,940,13.66666667,2587.666667,769.3333333,126.3333333,7,1.5,0,0,0,0,0,0,0,0,0,E098060E6B54,32.5
0,0,23-09-21 12:10,15.6,15.6,32.7,39.22,0,0,0,0,17.2,0,979,939.8,13,2282.4,688.4,103.4,3.4,1.8,0,0,0,0,0,0,0,0,0,E098060E6B54,26
0,0,23-09-21 12:11,15.33333333,15.33333333,32.7,39.56666667,0,0,0,0,15.83333333,0,979,941,12.5,2235.5,672.8333333,95.66666667,1,0.333333333,0,0,0,0,0,0,0,0,0,E098060E6B54,25.55555556
0,0,23-09-21 12:11,16.8,16.8,32.7,39.7,0,0,0,0,16.8,0,979,940.6,13,2404.4,706.4,98.6,0.6,0,0,0,0,0,0,0,0,0,0,E098060E6B54,28
0,0,23-09-21 12:12,17.2,17.2,32.7,39.38,0,0,0,0,18,0,979,941.2,13,2367.6,701.8,107.6,4.6,0.2,0,0,0,0,0,0,0,0,0,E098060E6B54,28.66666667
