pm4cnc,pm4cnt,dt_time,pm25raw,pm2.5cnc,temp,rh,o3op1,o3op2,no2op1,no2op2,pm10cnc,PM10,pres,altd,pm1cnc,pm0.3cnt,pm0.5cnt,pm1cnt,pm2.5cnt,pm5cnt,pm10cnt,lat,lon,no,nox,nh3,co,co2,benzene,deviceid,aqi
0,0,23-09-21 14:54,24.33333333,24.33333333,25.26666667,69.8,0,0,0,0,27,0,977,991.3333333,17,3231.333333,880,189,9.666666667,3.333333333,0.666666667,0,0,0,0,0,0,0,0,E098060EC2BE,40.55555556
0,0,23-09-21 14:54,25,25,25.5,66.125,0,0,0,0,26,0,977,992,17.5,3457.75,914.5,179.25,6,1.5,0,0,0,0,0,0,0,0,0,E098060EC2BE,41.66666667
0,0,23-09-21 14:55,23.33333333,23.33333333,25.76666667,59.55,0,0,0,0,24.66666667,0,977,993.3333333,16.83333333,3072.5,856,161.3333333,11.33333333,0.833333333,0,0,0,0,0,0,0,0,0,E098060EC2BE,38.88888889
0,0,23-09-21 14:55,21.4,21.4,26.02,57.32,0,0,0,0,23,0,977,993.4,16.6,2996.2,843.4,131,8.8,2.2,0,0,0,0,0,0,0,0,0,E098060EC2BE,35.66666667
0,0,23-09-21 14:56,22,22,26.2,56.34,0,0,0,0,23,0,977,992.8,15.8,2922.6,829.4,149.2,8,1.4,0,0,0,0,0,0,0,0,0,E098060EC2BE,36.66666667
0,0,23-09-21 14:56,23.6,23.6,26.4,55.46,0,0,0,0,25,0,977,993,16.2,3034.4,845.6,148,14.8,1.8,0,0,0,0,0,0,0,0,0,E098060EC2BE,39.33333333
0,0,23-09-21 14:57,21.8,21.8,26.54,54.76,0,0,0,0,22.4,0,977,993.6,15.4,2833.4,786.4,125,9.2,1,0,0,0,0,0,0,0,0,0,E098060EC2BE,36.33333333
0,0,23-09-21 14:57,22.25,22.25,26.75,54.075,0,0,0,0,23,0,977,993.75,15,2951.5,809.5,159.25,10,0.5,0,0,0,0,0,0,0,0,0,E098060EC2BE,37.08333333
0,0,23-09-21 20:11,42.4,42.4,26.64,94.4,0,0,0,0,52.8,0,982,851.4,26.8,6213.2,1710.8,394.2,30.2,6,0.8,0,0,0,0,0,0,0,0,E098060EC2BE,70.66666667
0,0,23-09-21 20:11,41.25,41.25,26.975,92.075,0,0,0,0,52,0,982,850,26.75,6065.5,1698.75,367,26.5,8.25,3.25,0,0,0,0,0,0,0,0,E098060EC2BE,68.75
0,0,23-09-21 20:12,41,41,27.3,89.78,0,0,0,0,50.4,0,982,850.2,27.4,5960.6,1672.8,352.8,22,5.4,2,0,0,0,0,0,0,0,0,E098060EC2BE,68.33333333
0,0,23-09-21 20:12,40.2,40.2,27.7,87.1,0,0,0,0,50,0,982,850.6,25.8,5745.2,1604.8,336.8,31.4,6.2,0.2,0,0,0,0,0,0,0,0,E098060EC2BE,67
0,0,23-09-21 20:13,41.4,41.4,28.04,84.9,0,0,0,0,50.8,0,982,850,26.6,5730.4,1637.4,348.4,23,6,0.8,0,0,0,0,0,0,0,0,E098060EC2BE,69
0,0,23-09-21 20:13,39.8,39.8,28.36,82.62,0,0,0,0,48.6,0,982,850.2,26.2,5637.4,1595.2,341.8,21.6,5.4,1.2,0,0,0,0,0,0,0,0,E098060EC2BE,66.33333333
0,0,23-09-21 20:14,39,39,28.74,80.5,0,0,0,0,47.4,0,982,849.6,26,5523.4,1541.8,318,26,3,0.4,0,0,0,0,0,0,0,0,E098060EC2BE,65
