pm4cnc,pm4cnt,dt_time,pm25raw,pm2.5cnc,temp,rh,o3op1,o3op2,no2op1,no2op2,pm10cnc,PM10,pres,altd,pm1cnc,pm0.3cnt,pm0.5cnt,pm1cnt,pm2.5cnt,pm5cnt,pm10cnt,lat,lon,no,nox,nh3,co,co2,benzene,deviceid,aqi
0,0,23-09-21 14:59,25,25,25.2,58.9,0,0,0,0,29,0,977,1000,17,3377,926,182,19,5,4,0,0,0,0,0,0,0,0,E098060EC87A,41.66666667
0,0,23-09-21 14:59,24.83333333,24.83333333,25.4,58.1,0,0,0,0,27.83333333,0,977,1001,17.33333333,3363.666667,930.1666667,156.8333333,10.5,4,2.833333333,0,0,0,0,0,0,0,0,E098060EC87A,41.38888889
0,0,23-09-21 15:00,22,22,25.7,55.38,0,0,0,0,25,0,977,1001.6,16.8,3233.2,863.2,138.2,6.4,3.4,3.2,0,0,0,0,0,0,0,0,E098060EC87A,36.66666667
0,0,23-09-21 15:00,26,26,25.9,53.7,0,0,0,0,26.8,0,977,1001.8,17.8,3345.6,912.6,150.6,14,1,0,0,0,0,0,0,0,0,0,E098060EC87A,43.33333333
0,0,23-09-21 15:01,23,23,26.1,53,0,0,0,0,24.8,0,977,1002.4,17,3109.4,862,156.2,6.8,2.4,0,0,0,0,0,0,0,0,0,E098060EC87A,38.33333333
0,0,23-09-21 15:01,20.75,20.75,26.25,52.55,0,0,0,0,21.75,0,977,1003.25,15.5,2852.5,793,136.25,2.25,0.5,0.5,0,0,0,0,0,0,0,0,E098060EC87A,34.58333333
0,0,23-09-21 15:02,20.16666667,20.16666667,26.48333333,51.91666667,0,0,0,0,21.66666667,0,976.8333333,1002.833333,15.16666667,3007.5,797.1666667,118.6666667,7.666666667,1.666666667,0.666666667,0,0,0,0,0,0,0,0,E098060EC87A,33.61111111
0,0,23-09-21 15:02,22,22,26.72,51.26,0,0,0,0,24,0,976.8,1003.8,17,3091.8,858.4,137.6,8.4,3.2,0.6,0,0,0,0,0,0,0,0,E098060EC87A,36.66666667
0,0,23-09-21 15:03,22.4,22.4,26.96,50.72,0,0,0,0,24,0,976.6,1003,17.6,3190.4,869.6,118.2,6.2,1.6,1.6,0,0,0,0,0,0,0,0,E098060EC87A,37.33333333
0,0,23-09-21 15:03,21.33333333,21.33333333,27.21666667,50.08333333,0,0,0,0,23.83333333,0,976.5,1004,15,2866,787.8333333,140.8333333,11.5,3,3,0,0,0,0,0,0,0,0,E098060EC87A,35.55555556
0,0,23-09-21 15:04,23.25,23.25,27.45,49.425,0,0,0,0,24.25,0,976.5,1004,15.25,2857,796.25,148.75,18,1,1,0,0,0,0,0,0,0,0,E098060EC87A,38.75
0,0,23-09-21 15:04,22.2,22.2,27.68,48.9,0,0,0,0,22.2,0,976.2,1005.6,16,3030.2,825,143.4,8.2,0,0,0,0,0,0,0,0,0,0,E098060EC87A,37
0,0,23-09-21 15:05,21.6,21.6,27.9,48.26,0,0,0,0,22.4,0,976.2,1005,15.2,2918,807,127,10,0.6,0.6,0,0,0,0,0,0,0,0,E098060EC87A,36
0,0,23-09-21 15:05,21,21,28.14,47.68,0,0,0,0,22.4,0,976,1006,15,2912,798.8,138.4,8.8,1.6,1.6,0,0,0,0,0,0,0,0,E098060EC87A,35
0,0,23-09-21 15:06,22.6,22.6,28.42,47.08,0,0,0,0,23.2,0,976,1006.4,16.8,3008.2,827.6,139.6,7,0.4,0.4,0,0,0,0,0,0,0,0,E098060EC87A,37.66666667
0,0,23-09-21 15:06,23.16666667,23.16666667,28.75,46.43333333,0,0,0,0,25,0,976,1006.666667,15.66666667,2942.5,809,140.8333333,13,1.5,1.5,0,0,0,0,0,0,0,0,E098060EC87A,38.61111111
0,0,23-09-21 15:07,21.33333333,21.33333333,29.03333333,45.66666667,0,0,0,0,24.66666667,0,976,1007.666667,16.33333333,3015.333333,794,123.3333333,11.33333333,4,4,0,0,0,0,0,0,0,0,E098060EC87A,35.55555556
0,0,23-09-21 15:07,18.4,18.4,29.36,44.84,0,0,0,0,19.6,0,976,1007.6,14.4,2748.6,744.8,105,6.6,1,1,0,0,0,0,0,0,0,0,E098060EC87A,30.66666667
0,0,23-09-21 15:08,18.66666667,18.66666667,29.7,44.01666667,0,0,0,0,21.83333333,0,976,1008,14,2680.833333,712,117.8333333,11.16666667,3.666666667,2.666666667,0,0,0,0,0,0,0,0,E098060EC87A,31.11111111
